episode,score,score_per_step,steps,success,final_distance,n_biases,carry_state,exploration_noise,loss,actor_loss,critic_loss,entropy,approx_kl,clip_frac,lr,best_eval_success,eval_score_mean,eval_score_std,eval_steps_mean,eval_success_rate,eval_final_distance_mean
1,371.0778300474238,3.710778300474238,100,0.0,1.9486424293339322,76,0.0,0.0495,2306.6802790715146,-9.123637126042292e-05,4613.44833608774,4.378749810732328,0.001191703172830435,0.0,0.0003,nan,,,,,
2,309.5973317672763,5.159955529454605,60,1.0,0.199504632547701,47,0.0,0.049005,7304.14946937561,-0.004334008631606896,14608.395332336426,4.378821631272634,-0.0022109771768252053,0.0,0.0003,nan,,,,,
3,216.43826797995473,5.033448092557086,43,1.0,0.10284658992904926,38,0.0,0.04851495,4896.513699849446,-0.0031319049497445426,9793.121444702148,4.3782074848810835,0.008398062704751888,0.0,0.0003,nan,,,,,
4,203.3519557981759,2.9471297941764623,69,1.0,0.14970552729176542,56,0.0,0.0480298005,2791.2416716076077,-0.06350655991229273,5582.697873070127,4.3773391133262995,-0.006882254389070329,0.05000000021287373,0.0003,nan,,,,,
5,-62.41490860166624,-0.6241490860166624,100,0.0,5.063258525376446,79,0.0,0.047549502495,65.14240264892578,-0.2703598737716675,130.91307067871094,4.377303600311279,0.05476951599121094,0.0,0.0003,nan,,,,,
6,199.87677010841054,2.530085697574817,79,1.0,0.10260036783316413,66,0.0,0.04707400747005,2185.558701459099,0.04432994247797657,4371.116311465993,4.376449641059427,0.00684409707729869,0.0,0.0003,nan,,,,,
7,-43.000811564489204,-0.43000811564489205,100,0.0,2.1169702643952966,76,0.0,0.0466032673953495,103.14203657927337,-0.018705376044467644,206.40893766615125,4.372629836753562,-0.0009410502734007659,0.0,0.0003,nan,,,,,
8,196.22024436590556,2.4527530545738196,80,1.0,0.09566956159711093,63,0.0,0.046137234721396005,2256.8821378765683,-0.03208057379180735,4513.915895404238,4.373014869111957,-0.0020704088789044004,0.007575757575757576,0.0003,nan,,,,,
9,201.33415826629758,2.5166769783287197,80,1.0,0.1361481049192726,62,0.0,0.045675862374182044,1884.7033237110484,0.013651559976014223,3769.4667895923963,4.3699609583074395,0.003990054130554199,0.0,0.0003,nan,,,,,
10,198.294533138538,2.6091385939281313,76,1.0,0.13748607668583804,64,0.0,0.04521910375044022,1682.041160181949,0.0058317209937070544,3364.157942119398,4.363762955916555,-0.006204912537022641,0.006578947368421052,0.0003,nan,,,,,
11,193.43993539230274,2.223447533244859,87,1.0,0.16643634748297242,69,0.0,0.04476691271293582,1319.875390625,-0.19800619184970855,2640.23388671875,4.356432056427002,0.00919746160507202,0.0,0.0003,nan,,,,,
12,213.03732792394754,3.610802168202501,59,1.0,0.09265364772602296,44,0.0,0.04431924358580646,2084.224536895752,0.004205837147310376,4168.527851104736,4.358687371015549,-0.005405725751188584,0.0,0.0003,nan,,,,,
13,208.1695164923799,2.9738502356054273,70,1.0,0.04762027179167325,50,0.0,0.04387605114994839,1365.3237213134767,-0.010102924332022667,2730.754850769043,4.35907301902771,0.007270909356884658,0.0,0.0003,nan,,,,,
14,-36.31484873070874,-0.3631484873070874,100,0.0,1.901670268568959,78,0.0,0.04343729063844891,386.51054243607956,0.05010936510833827,773.0080288973721,4.358973979949951,0.0006028169935399836,0.0,0.0003,nan,,,,,
15,220.89607413426103,6.136002059285029,36,1.0,0.12803337058478434,31,0.0,0.04300291773206442,2270.3238159179687,0.021539290249347687,4540.691479492188,4.35252103805542,-0.0036043256521224977,0.0,0.0003,nan,,,,,
16,225.5050958489406,5.6376273962235155,40,1.0,0.1320684013556157,32,0.0,0.042572888554743775,2084.7292347783628,-0.07654324044351993,4169.6987039317255,4.355856232021166,-0.007667825273845507,0.05434782608695652,0.0003,nan,,,,,
17,-66.74461821147695,-0.6674461821147695,100,0.0,4.8279906484919195,82,0.0,0.042147159669196334,278.6498672848656,-0.028053884172723406,557.4427219572522,4.343871684301467,0.002525377841222854,0.017857142857142856,0.0003,nan,,,,,
