time_ps,cv2_distance_A
0.000000000000000000e+00,6.642480373382568359e+00
3.999999910593032837e-02,6.348046779632568359e+00
7.999999821186065674e-02,5.918209552764892578e+00
1.199999973177909851e-01,5.529482841491699219e+00
1.599999964237213135e-01,5.546138286590576172e+00
1.999999880790710449e-01,5.420361518859863281e+00
2.399999946355819702e-01,5.263801574707031250e+00
2.800000011920928955e-01,5.403047561645507812e+00
3.199999928474426270e-01,5.451754570007324219e+00
3.599999845027923584e-01,5.464431762695312500e+00
3.999999761581420898e-01,5.418071746826171875e+00
4.399999976158142090e-01,5.249949455261230469e+00
4.799999892711639404e-01,5.383886814117431641e+00
5.199999809265136719e-01,5.574807167053222656e+00
5.600000023841857910e-01,5.550757884979248047e+00
5.999999642372131348e-01,5.590672969818115234e+00
6.399999856948852539e-01,5.568146705627441406e+00
6.800000071525573730e-01,5.544899463653564453e+00
7.199999690055847168e-01,5.514737606048583984e+00
7.599999904632568359e-01,5.402481079101562500e+00
7.999999523162841797e-01,5.249320030212402344e+00
8.399999737739562988e-01,5.014049053192138672e+00
8.799999952316284180e-01,4.891366481781005859e+00
9.199999570846557617e-01,4.565040588378906250e+00
9.599999785423278809e-01,4.888125896453857422e+00
1.000000000000000000e+00,4.492127418518066406e+00
1.039999961853027344e+00,4.689593791961669922e+00
1.079999923706054688e+00,4.659639835357666016e+00
1.120000004768371582e+00,4.766396522521972656e+00
1.159999966621398926e+00,4.796563148498535156e+00
1.199999928474426270e+00,5.063060283660888672e+00
1.240000009536743164e+00,5.297215461730957031e+00
1.279999971389770508e+00,5.446572780609130859e+00
1.319999933242797852e+00,5.296228408813476562e+00
1.360000014305114746e+00,5.173582077026367188e+00
1.399999976158142090e+00,5.080582141876220703e+00
1.439999938011169434e+00,4.827437877655029297e+00
1.480000019073486328e+00,4.744374752044677734e+00
1.519999980926513672e+00,4.614925384521484375e+00
1.559999942779541016e+00,4.772380352020263672e+00
1.599999904632568359e+00,4.645396232604980469e+00
1.639999985694885254e+00,4.741186618804931641e+00
1.679999947547912598e+00,4.704473018646240234e+00
1.719999909400939941e+00,4.758284091949462891e+00
1.759999990463256836e+00,4.997327804565429688e+00
1.799999952316284180e+00,5.111999511718750000e+00
1.839999914169311523e+00,5.184723854064941406e+00
1.879999995231628418e+00,5.178948879241943359e+00
1.919999957084655762e+00,5.059044837951660156e+00
1.959999918937683105e+00,4.964842796325683594e+00
2.000000000000000000e+00,4.951598167419433594e+00
2.039999961853027344e+00,4.938666343688964844e+00
2.079999923706054688e+00,4.669729709625244141e+00
