time_ps,cv1_distance_A
1.679999947547912598e+00,3.252807617187500000e+00
1.719999909400939941e+00,3.274039506912231445e+00
1.759999990463256836e+00,3.287062883377075195e+00
1.799999952316284180e+00,3.236523389816284180e+00
1.839999914169311523e+00,3.332332134246826172e+00
1.879999995231628418e+00,3.326069355010986328e+00
1.919999957084655762e+00,3.295718669891357422e+00
1.959999918937683105e+00,3.383032083511352539e+00
2.000000000000000000e+00,3.259105443954467773e+00
2.039999961853027344e+00,3.360984802246093750e+00
2.079999923706054688e+00,3.187366247177124023e+00
2.119999885559082031e+00,3.314422845840454102e+00
2.159999847412109375e+00,3.277940750122070312e+00
2.200000047683715820e+00,3.340942621231079102e+00
2.240000009536743164e+00,3.255671501159667969e+00
2.279999971389770508e+00,3.225576162338256836e+00
2.319999933242797852e+00,3.351263523101806641e+00
2.359999895095825195e+00,3.284383535385131836e+00
2.399999856948852539e+00,3.296191453933715820e+00
2.440000057220458984e+00,3.326165676116943359e+00
2.480000019073486328e+00,3.276483535766601562e+00
2.519999980926513672e+00,3.235289335250854492e+00
2.559999942779541016e+00,3.267723560333251953e+00
2.599999904632568359e+00,3.264263629913330078e+00
2.639999866485595703e+00,3.373108148574829102e+00
2.679999828338623047e+00,3.277303934097290039e+00
2.720000028610229492e+00,3.367346048355102539e+00
2.759999990463256836e+00,3.288768053054809570e+00
2.799999952316284180e+00,3.290975332260131836e+00
2.839999914169311523e+00,3.255514144897460938e+00
2.879999876022338867e+00,3.273648262023925781e+00
2.919999837875366211e+00,3.337912797927856445e+00
2.960000038146972656e+00,3.317446470260620117e+00
3.000000000000000000e+00,3.264682292938232422e+00
3.039999961853027344e+00,3.222043752670288086e+00
3.079999923706054688e+00,3.369113683700561523e+00
3.119999885559082031e+00,3.254731893539428711e+00
3.159999847412109375e+00,3.304315567016601562e+00
3.199999809265136719e+00,3.215983152389526367e+00
3.240000009536743164e+00,3.325286149978637695e+00
3.279999971389770508e+00,3.267889976501464844e+00
3.319999933242797852e+00,3.296174287796020508e+00
3.359999895095825195e+00,3.268901109695434570e+00
3.399999856948852539e+00,3.318630933761596680e+00
3.439999818801879883e+00,3.313264846801757812e+00
3.480000019073486328e+00,3.277069807052612305e+00
3.519999980926513672e+00,3.345644712448120117e+00
3.559999942779541016e+00,3.224772214889526367e+00
3.599999904632568359e+00,3.306669712066650391e+00
3.639999866485595703e+00,3.272282361984252930e+00
3.679999828338623047e+00,3.354658842086791992e+00
3.720000028610229492e+00,3.236392021179199219e+00
3.759999990463256836e+00,3.351587057113647461e+00
3.799999952316284180e+00,3.303137063980102539e+00
3.839999914169311523e+00,3.354658603668212891e+00
3.879999876022338867e+00,3.254823923110961914e+00
3.919999837875366211e+00,3.277651786804199219e+00
3.959999799728393555e+00,3.293019533157348633e+00
4.000000000000000000e+00,3.301280021667480469e+00
4.039999961853027344e+00,3.335361719131469727e+00
4.079999923706054688e+00,3.304240942001342773e+00
4.119999885559082031e+00,3.344189882278442383e+00
4.159999847412109375e+00,3.327944040298461914e+00
4.199999809265136719e+00,3.307572364807128906e+00
4.239999771118164062e+00,3.283912897109985352e+00
4.279999732971191406e+00,3.365530729293823242e+00
