episode,score,steps,success,final_distance,n_biases,loss,actor_loss,critic_loss,entropy,approx_kl,clip_frac,lr,eval_score_mean,eval_success_rate,eval_final_distance_mean
1,273.26601360962434,40,0.0,4.9358240731138805,34,4211.672770182292,-0.05795076986153921,8423.549153645834,4.377731005350749,0.013544032971064249,0.020833333333333332,0.0003,,,
2,89.6683098088385,40,0.0,3.1840369120088665,30,1052.6809828016494,-0.0034447101255257926,2105.4564615885415,4.378365304734972,0.00171928604443868,0.0,0.0003,,,
3,-5.84710918809118,40,0.0,2.588051746764336,34,100.02021544320243,0.008995132786887032,200.1099913460868,4.377517393657139,0.015350582344191415,0.0,0.0003,,,
4,320.5781992592745,39,1.0,0.14657374112171734,34,11761.27476671007,-0.01525174660815133,23522.66775173611,4.376165390014648,-0.00641874495583276,0.018353174957964156,0.0003,,,
5,-7.841006716335015,40,0.0,3.3417397911151285,31,43.07722997665405,-0.05195204292734464,86.34586482577853,4.37508389684889,-0.01055514481332567,0.006944444444444444,0.0003,,,
6,238.00644891399824,17,1.0,0.19830227231358327,11,10783.715657552084,-0.038903841748833656,21567.597005208332,4.375123977661133,-0.006110072135925293,0.0,0.0003,,,
7,-3.673417219976905,40,0.0,2.8601817527756115,29,23.42042303085327,-0.03139197495248583,46.991089291042755,4.372968832651774,-0.0019974857568740845,0.010416666666666666,0.0003,,,
8,-17.23119253024157,40,0.0,3.911450139389891,29,117.46778954399957,0.093229617509577,234.836541917589,4.37087869644165,0.005845920907126533,0.0,0.0003,,,
9,4.130439839863301,40,0.0,1.9728843726672196,30,39.22763432396783,-0.0332178980525997,78.60906579759386,4.368065807554457,-0.006251688632700179,0.017361111111111112,0.0003,,,
10,-34.03903100076071,40,0.0,5.400997388491685,28,62.739128748575844,0.0005741193890571594,125.5645523071289,4.372119665145874,0.018842841188112896,0.0,0.0003,,,
11,-2.51576063408075,40,0.0,2.4643736193997015,33,20.95635396784002,-0.049172259189865807,42.09824353998358,4.359539248726585,0.01749574460766532,0.0,0.0003,,,
12,-0.9272153437707398,40,0.0,2.343031112013169,35,68.36969905429416,-0.01450273891290029,136.8557105594211,4.365291568968031,-0.0023836808072196115,0.017361111111111112,0.0003,,,
13,-13.991385212766767,40,0.0,3.4994986081099593,31,23.52729823372581,-0.01554836400530555,47.17270244251598,4.350431095470082,0.005812307650392706,0.0,0.0003,,,
14,-6.3110115612207816,40,0.0,3.0081504392138934,31,60.56702592637804,-0.057848136872053146,121.33687951829698,4.356591622034709,-0.002448777357737223,0.006944444444444444,0.0003,,,
15,226.74645405124608,35,1.0,0.17658039229760006,31,5914.741563585069,-0.05531751447253757,11829.680772569445,4.350268867280748,-0.02563611086871889,0.04282407462596893,0.0003,,,
16,-9.464713657464404,40,0.0,3.3558168650678777,35,21.75555992126465,-0.04658726805990392,43.691137834028765,4.342170368541371,-0.0033694803714752197,0.0,0.0003,,,
17,-29.98290388738733,40,0.0,5.081245871626996,34,64.20416174994574,-0.03180724258224169,128.5589336819119,4.349818017747667,0.009238161974483065,0.006944444444444444,0.0003,,,
18,-16.155923028916988,40,0.0,3.757281018021856,34,17.76611385345459,-0.01528365711371104,35.649213027954104,4.320891793568929,0.004628110925356547,0.04583333333333333,0.0003,,,
19,-5.502263065745142,40,0.0,3.1331618645657024,33,24.796607398986815,-0.06385300159454346,49.80674591064453,4.291254758834839,0.004476770758628845,0.00625,0.0003,,,
20,-9.990550218214732,40,0.0,3.052201808237771,32,77.91390061378479,-0.02241942728869617,155.95898580551147,4.317207038402557,0.007737942039966583,0.0078125,0.0003,107.72228096856628,0.25,2.721147259546838
21,-13.604511586559003,40,0.0,3.601255327994454,37,26.599254078335232,0.02084413419167201,53.24245421091715,4.281710253821479,-0.0013742893934249878,0.0,0.0003,,,
22,-9.91377010954853,40,0.0,2.928774485084174,31,92.66876570383708,-0.005575486769278844,185.43370310465494,4.251050750414531,0.0021381676197052,0.005208333333333333,0.0003,,,
23,-16.078610625249148,40,0.0,3.5702269614373794,29,12.73343801498413,0.004668032502134641,25.543230628967287,4.284535090128581,0.004499134421348572,0.020833333333333332,0.0003,,,
24,-6.66633283972843,40,0.0,2.720514481026413,29,40.41091092427572,0.0535882202287515,80.79981231689453,4.258447249730428,0.012172711392243704,0.0,0.0003,,,
25,14.477003760751836,40,0.0,0.835843755802588,31,24.949612821851456,-0.02087297902575561,50.026234081813264,4.263093335287912,-0.001606202551296779,0.022321428571428572,0.0003,,,
26,-27.55491817180644,40,0.0,4.928296328524608,33,79.47027100457086,-0.038898349532650575,159.1044158935547,4.303752660751343,-0.0001803189516067505,0.003472222222222222,0.0003,,,
27,3.8811959960071016,40,0.0,1.8847428467660985,36,12.473645488421122,0.03456586102644602,24.96315852801005,4.249997615814209,0.009910436968008677,0.0,0.0003,,,
28,-27.45586479175376,40,0.0,5.145621185855548,30,15.878431115831647,-0.07747264259627887,31.996641159057617,4.241655485970633,0.005267791450023651,0.017857142857142856,0.0003,,,
29,-23.59020281787494,40,0.0,4.56587404195943,36,112.895585332598,-0.04733214979725225,225.97052219935827,4.234275204794748,0.006253536258425031,0.017857142857142856,0.0003,,,
30,-17.17378674229849,40,0.0,3.6871032856932096,37,18.25905270046658,-0.06474561389121744,36.73135736253526,4.188030666775173,-0.014274410903453827,0.059027777777777776,0.0003,,,
31,226.894166770845,36,1.0,0.1947157844623341,31,5609.8309326171875,0.05142466848095258,11219.643920898438,4.247224609057109,0.009238895028829575,0.015625,0.0003,,,
32,-8.944200321672227,40,0.0,3.005664326894938,33,16.00861496395535,-0.09757924411031935,32.29508866204156,4.1350028779771595,-0.02014466540680991,0.05555555555555555,0.0003,,,
