episode,score,steps,success,final_distance,n_biases,loss,actor_loss,critic_loss,entropy,approx_kl,clip_frac,lr,eval_score_mean,eval_success_rate,eval_final_distance_mean
20,-4.191702215260076,40,0.0,2.6392682465630033,30,17.84165816836887,-0.00484799262550142,35.77970186869303,4.334481663174099,0.002173379063606262,0.0,0.0003,55.36287150187249,0.0,2.8505882062162184
21,-25.993953004445576,40,0.0,5.013120373881257,34,35.7362679568204,-0.047849616543813187,71.65488243103027,4.332443497397683,0.005866699598052285,0.011363636363636364,0.0003,,,
22,-10.20506825974461,40,0.0,3.1544075427263407,32,3.798039212822914,0.004863329231739044,7.6731482446193695,4.339827597141266,0.014418864622712135,0.0,0.0003,,,
23,226.56573831966256,34,1.0,0.16029074941695076,28,7501.156711154514,-0.1666554423669974,15002.732530381945,4.2903626759847,-0.028994705114099715,0.0798611111111111,0.0003,,,
24,-1.1754038558454902,40,0.0,2.496696217812373,33,4.4006876728751445,0.012120390480214899,8.863357630642978,4.311147473075173,0.0021669688549908724,0.0,0.0003,,,
25,227.87667842913172,30,1.0,0.1633912135576763,25,7309.228515625,-0.03211457460808257,14618.606608072916,4.26436980565389,-0.0017006714770104736,0.027529762436946232,0.0003,,,
26,-22.888870622289375,40,0.0,4.779876622117783,30,21.331241003672282,-0.04849543534219265,42.84596881866455,4.32481263478597,0.011202277739842732,0.0125,0.0003,,,
27,-30.121749514487544,40,0.0,5.179304892582829,28,34.95784707502885,-0.021830259398980575,70.04365054043856,4.214802221818403,0.011052250862121582,0.005681818181818182,0.0003,,,
28,-13.615097762945434,40,0.0,3.5167034580721492,37,3.0119145711263022,-0.048049750116964184,6.2059783935546875,4.302490433057149,0.0008916358153025309,0.005208333333333333,0.0003,,,
29,-3.0192133421961214,40,0.0,2.4698081803781466,33,1.4944397277302213,-0.01561006386246946,3.1063340504964194,4.311724397871229,-0.017225951784186892,0.06597222222222222,0.0003,,,
30,-13.664957672557687,40,0.0,3.595355427175376,35,3.0828500390052795,0.012385353911668062,6.225695431232452,4.238303601741791,0.01191515102982521,0.0,0.0003,,,
31,-3.78265577623321,40,0.0,2.8266640836282915,34,3.7331216434637704,0.06248063532014688,7.426830053329468,4.27740740776062,-0.0013008291522661846,0.0,0.0003,,,
32,-4.557137773245014,40,0.0,2.788496860707671,32,4.869986382397738,-0.06982749971476468,9.964712619781494,4.254237218336626,0.0026542368260296908,0.0,0.0003,,,
33,-9.186133642776952,40,0.0,2.954463795653621,30,4.947851432694329,-0.021959347650408745,10.024508078893026,4.244327571656969,-0.0023748593197928537,0.08680555555555555,0.0003,,,
34,-35.63551180587108,40,0.0,5.531500630037978,33,8.217610915501913,-0.032979474713404976,16.587685373094345,4.325237565570408,-0.018839529818958707,0.0625,0.0003,,,
35,-25.94301868020526,40,0.0,4.547966893089893,33,5.928355475266774,-0.023921786497036617,11.986087481180826,4.076657255490621,0.01194433867931366,0.0,0.0003,,,
36,-38.80286066899771,40,0.0,5.975138426342487,34,3.250784741507636,-0.08383108551303546,6.7523579597473145,4.156314531962077,0.0067808512184355,0.0,0.0003,,,
37,-7.1274240236833535,40,0.0,3.1726671801518953,30,6.504158602820502,-0.012566033336851332,13.11745055516561,4.200054274664985,0.010138735175132751,0.0,0.0003,,,
38,-22.27840530321447,40,0.0,4.446432237692666,33,5.329438341988458,-0.049831180108918086,10.843245956632826,4.235355589124891,-0.012538867692152659,0.06597222222222222,0.0003,,,
39,-8.266958273912616,40,0.0,2.6497615844831204,34,20.718334515889484,-0.012122939030329386,41.54583168029785,4.245868682861328,0.005846858024597168,0.0,0.0003,,,
40,-19.36565601654575,40,0.0,4.172336689214337,36,2.7105669101079304,-0.06532638805607954,5.634175030390422,4.119419225056967,-0.014589353402455648,0.06666666666666667,0.0003,100.91009772272275,0.25,3.3542052056138245
41,-0.06241806614792278,40,0.0,2.137667726149138,33,4.327945510546367,-0.03599383764796787,8.811104231410557,4.161278035905626,-0.007924093140496148,0.059027777777777776,0.0003,,,
42,-17.68147048878417,40,0.0,3.7725447079039625,32,12.585580319166183,-0.055770841194316745,25.366595327854156,4.194666743278503,0.0009042201563715935,0.0546875,0.0003,,,
43,14.717162955945632,40,0.0,0.8777727166703237,36,9.368059635162354,0.003116209680835406,18.812824249267578,4.146880070368449,0.0011577705542246501,0.0,0.0003,,,
44,-0.859522370897503,40,0.0,2.2885581878109704,34,5.756863196690877,-0.0746447371525897,11.746499988767836,4.174211661020915,-0.028387915756967332,0.05555555555555555,0.0003,,,
45,231.49598236964323,31,1.0,0.09080827333814778,27,9588.049641927084,-0.04024534020572901,19176.258382161457,3.9439648389816284,-0.011521805359128242,0.07534722425043583,0.0003,,,
46,-1.4607781254771357,40,0.0,2.4819951338680797,37,3.700952927271525,-0.05505479499697685,7.592805465062459,4.0395097732543945,0.012341372668743134,0.0,0.0003,,,
47,222.83396996713086,36,1.0,0.19664672149717285,34,7187.972086588542,0.03111854816476504,14375.959838867188,3.9002739787101746,-0.014639120548963547,0.078125,0.0003,,,
