cv1_distance_A,bias_kcal_per_mol
-1.663452578562593764e+00,2.072252020244841619e-01
-1.622635499933828385e+00,2.284498627166294815e-01
-1.581818421305062783e+00,2.516962921825859345e-01
-1.541001342676297403e+00,2.771351092011934414e-01
-1.500184264047532023e+00,3.049482592223083932e-01
-1.459367185418766644e+00,3.353293626856819198e-01
-1.418550106790001042e+00,3.684840203169552630e-01
-1.377733028161235662e+00,4.046300672234988682e-01
-1.336915949532470282e+00,4.439977671477172705e-01
-1.296098870903704903e+00,4.868299378223003293e-01
-1.255281792274939301e+00,5.333819980232167302e-01
-1.214464713646173921e+00,5.839219266450890178e-01
-1.173647635017408319e+00,6.387301239432418010e-01
-1.132830556388642940e+00,6.980991650107469804e-01
-1.092013477759877560e+00,7.623334356005566637e-01
-1.051196399131112180e+00,8.317486405754015433e-01
-1.010379320502346800e+00,9.066711755839713671e-01
-9.695622418735811987e-01,9.874373530325364356e-01
-9.287451632448158190e-01,1.074392474056916846e+00
-8.879280846160503282e-01,1.167889739009336791e+00
-8.471110059872849485e-01,1.268288989965125069e+00
-8.062939273585194577e-01,1.375955279930176856e+00
-7.654768487297540780e-01,1.491257264793747206e+00
-7.246597701009885872e-01,1.614565415622032596e+00
-6.838426914722230965e-01,1.746250050622315086e+00
-6.430256128434577167e-01,1.886679188018501652e+00
-6.022085342146923370e-01,2.036216223156045224e+00
-5.613914555859267352e-01,2.195217435383781446e+00
-5.205743769571613555e-01,2.364029332624415058e+00
-4.797572983283959758e-01,2.542985844023278208e+00
-4.389402196996305960e-01,2.732405373632183387e+00
-3.981231410708649943e-01,2.932587730714353746e+00
-3.573060624420996145e-01,3.143810954917922729e+00
-3.164889838133342348e-01,3.366328057228273440e+00
-2.756719051845686330e-01,3.600363700242007692e+00
-2.348548265558032533e-01,3.846110843877617480e+00
-1.940377479270378736e-01,4.103727385123451477e+00
-1.532206692982724938e-01,4.373332822802114883e+00
-1.124035906695068920e-01,4.655004980592263308e+00
-7.158651204074151231e-02,4.948776823698765703e+00
-3.076943341197613258e-02,5.254633406626577852e+00
1.004764521678946920e-02,5.572508991546603063e+00
5.086472384555484894e-02,5.902284378835063627e+00
9.168180247432022867e-02,6.243784493659763513e+00
1.324988811030856084e-01,6.596776275174273785e+00
1.733159597318512102e-01,6.960966918230619527e+00
2.141330383606165899e-01,7.336002521879073868e+00
2.549501169893819696e-01,7.721467204723629685e+00
2.957671956181475714e-01,8.116882754967592817e+00
3.365842742469129512e-01,8.521708893321308764e+00
3.774013528756783309e-01,8.935344240522169912e+00
4.182184315044437106e-01,9.357128098726560594e+00
4.590355101332090904e-01,9.786343178123283693e+00
4.998525887619744701e-01,1.022221942729838240e+01
5.406696673907402939e-01,1.066393915839048567e+01
5.814867460195056736e-01,1.111064369570684285e+01
6.223038246482710534e-01,1.156144181835682438e+01
6.631209032770364331e-01,1.201542031182660430e+01
7.039379819058018128e-01,1.247165698731484085e+01
7.447550605345671926e-01,1.292923656667610821e+01
7.855721391633325723e-01,1.338726985890706978e+01
8.263892177920983961e-01,1.384491666337399529e+01
8.672062964208637759e-01,1.430141281573296475e+01
9.080233750496291556e-01,1.475610173348711029e+01
9.488404536783945353e-01,1.520847070710858873e+01
9.896575323071599151e-01,1.565819200735060868e+01
1.030474610935925295e+00,1.610516862896059465e+01
1.071291689564690675e+00,1.654958415818029138e+01
1.112108768193456498e+00,1.699195583511714247e+01
1.152925846822221878e+00,1.743318939082208985e+01
