cv2_distance_A,bias_kcal_per_mol
5.446285446088665161e+00,3.693157613697308506e+01
5.482307710407816614e+00,3.664408296691038913e+01
5.518329974726968956e+00,3.624039882897623954e+01
5.554352239046121298e+00,3.573363358682555457e+01
5.590374503365273640e+00,3.513813601945325615e+01
5.626396767684425093e+00,3.446906845313444023e+01
5.662419032003576547e+00,3.374197735379387098e+01
5.698441296322728888e+00,3.297237597545669274e+01
5.734463560641881230e+00,3.217535375247275908e+01
5.770485824961032684e+00,3.136522508233248274e+01
5.806508089280184137e+00,3.055522762301191264e+01
5.842530353599336479e+00,2.975727739397979832e+01
5.878552617918488821e+00,2.898178499992147295e+01
5.914574882237640274e+00,2.823753436195197608e+01
5.950597146556791728e+00,2.753162259729712247e+01
5.986619410875944070e+00,2.686945726472153240e+01
6.022641675195096411e+00,2.625480518776268113e+01
6.058663939514247865e+00,2.568988554491831167e+01
6.094686203833399318e+00,2.517549890404880841e+01
6.130708468152551660e+00,2.471118337297820844e+01
6.166730732471704002e+00,2.429538900612982744e+01
6.202752996790855455e+00,2.392566199110206426e+01
6.238775261110006909e+00,2.359883086559128174e+01
6.274797525429159251e+00,2.331118800023003601e+01
6.310819789748311592e+00,2.305866073963025542e+01
6.346842054067463046e+00,2.283696783773120842e+01
6.382864318386615388e+00,2.264175807753022696e+01
6.418886582705766841e+00,2.246872916371718176e+01
6.454908847024919183e+00,2.231372606749763676e+01
6.490931111344071525e+00,2.217281894843674195e+01
6.526953375663222978e+00,2.204236155544266751e+01
6.562975639982374432e+00,2.191903160842033316e+01
6.598997904301526773e+00,2.179985508569635400e+01
6.635020168620679115e+00,2.168221660148478946e+01
6.671042432939830569e+00,2.156385817082951917e+01
6.707064697258982022e+00,2.144286864952672644e+01
6.743086961578134364e+00,2.131766602864057703e+01
6.779109225897286706e+00,2.118697458278487389e+01
6.815131490216438159e+00,2.104979864244493371e+01
6.851153754535589613e+00,2.090539450486465256e+01
6.887176018854741955e+00,2.075324173379036097e+01
6.923198283173894296e+00,2.059301484038715913e+01
6.959220547493045750e+00,2.042455609698394881e+01
6.995242811812198092e+00,2.024785001952135133e+01
7.031265076131349545e+00,2.006299986811055192e+01
7.067287340450501887e+00,1.987020635975783733e+01
7.103309604769653340e+00,1.966974866276317613e+01
7.139331869088805682e+00,1.946196764668887980e+01
7.175354133407957136e+00,1.924725129218565201e+01
7.211376397727109477e+00,1.902602211780594033e+01
7.247398662046260931e+00,1.879872645243139573e+01
7.283420926365413273e+00,1.856582536832706154e+01
7.319443190684564726e+00,1.832778708759470021e+01
7.355465455003717068e+00,1.808508068079174791e+01
7.391487719322868521e+00,1.783817088803208861e+01
7.427509983642020863e+00,1.758751390778724044e+01
7.463532247961172317e+00,1.733355401513205152e+01
7.499554512280324658e+00,1.707672088802581456e+01
7.535576776599477000e+00,1.681742753646711108e+01
7.571599040918628454e+00,1.655606874440249854e+01
7.607621305237780795e+00,1.629301994775695661e+01
7.643643569556932249e+00,1.602863648373331884e+01
7.679665833876084591e+00,1.576325315658920623e+01
7.715688098195236044e+00,1.549718407353240046e+01
