episode,score,steps,success,final_distance,n_biases,loss,actor_loss,critic_loss,entropy,approx_kl,clip_frac,lr,eval_score_mean,eval_success_rate,eval_final_distance_mean
1,271.91103322813285,40,0.0,4.865322111263013,35,5085.207092285156,-0.029505254700779915,10170.56103515625,4.377945423126221,0.029492169618606567,0.0,0.0003,,,
2,-45.442588641174886,40,0.0,6.403126757010208,31,86.87283070882161,-0.05325169675052166,173.93971421983508,4.37752201822069,-0.0029919296503067017,0.010416666666666666,0.0003,,,
3,-34.54741502661567,40,0.0,5.340082330616784,33,148.0106225013733,-0.003992996644228697,296.1166706085205,4.372104495763779,0.01069781742990017,0.0078125,0.0003,,,
4,-14.627789653668415,40,0.0,3.587172632416014,34,80.92983627319336,0.008833655466636023,161.92938359578451,4.3689150015513105,-0.002263615528742472,0.0,0.0003,,,
5,425.5483494545048,34,1.0,0.14029223661154877,28,24580.432454427082,-0.08888456939409177,49161.129720052086,4.365302999814351,-0.016291555017232895,0.010416666666666666,0.0003,,,
6,235.62865366604723,18,1.0,0.1849983794017713,18,12172.329020182291,-0.24302933178842068,24345.231608072918,4.345856507619222,-0.0165155790746212,0.005208333333333333,0.0003,,,
7,228.72594254297124,35,1.0,0.18087615524159845,25,5693.634440104167,0.0530628909667333,11387.249620225695,4.351537386576335,-0.0045179572318577105,0.006944444444444444,0.0003,,,
8,-0.09916648534546058,40,0.0,2.4647100528975177,34,41.569188935416086,0.007557642246995654,83.21043368748256,4.358550412314279,0.0062839218548366,0.008928571428571428,0.0003,,,
9,0.4991411396684988,40,0.0,2.2235922774810732,27,29.80803861618042,-0.0028368517756462096,59.70882244110108,4.353584718704224,0.0051247477531433105,0.0,0.0003,,,
10,-28.49376816378538,40,0.0,5.000061075720383,29,74.04354308633243,-0.04770601957159884,148.2696573594037,4.358035227831672,-0.003443240242845872,0.003676470588235294,0.0003,,,
11,-14.722862583689718,40,0.0,3.4594906514390305,36,35.2340487071446,0.00445781195802348,70.54614325932094,4.348125900541033,0.0019135400652885437,0.008928571428571428,0.0003,,,
12,-29.704854250138094,40,0.0,5.008477732602802,29,52.57149526807997,-0.011774444590426154,105.25342517428928,4.344252798292372,-0.01362027476231257,0.04513888888888889,0.0003,,,
13,228.91700118605664,34,1.0,0.17261448449742103,24,5771.594665527344,0.026934741685787838,11543.221069335938,4.27864572736952,-0.03302909516625934,0.1076388888888889,0.0003,,,
14,-13.611058244288584,40,0.0,3.5267157059937966,33,39.20993974473741,-0.03188248640961117,78.56929143269856,4.282312287224664,0.015527904033660889,0.0,0.0003,,,
15,-27.504682158816212,40,0.0,4.816007716103808,33,77.34472247532436,0.02274005301296711,154.72911671229772,4.257642235074725,0.00647996153150286,0.0625,0.0003,,,
