time_ps,cv1_A,cv2_A
0.000000000000000000e+00,3.613046169281005859e+00,3.992552518844604492e+00
3.999999910593032837e-02,3.654382944107055664e+00,4.032813549041748047e+00
7.999999821186065674e-02,3.609957218170166016e+00,4.013544082641601562e+00
1.199999973177909851e-01,3.719608306884765625e+00,3.936486721038818359e+00
1.599999964237213135e-01,3.586378335952758789e+00,3.928656101226806641e+00
1.999999880790710449e-01,3.608121871948242188e+00,4.098747730255126953e+00
2.399999946355819702e-01,3.549832582473754883e+00,4.108092784881591797e+00
2.800000011920928955e-01,3.707136869430541992e+00,3.939021825790405273e+00
3.199999928474426270e-01,3.614396572113037109e+00,3.884545803070068359e+00
3.599999845027923584e-01,3.750504732131958008e+00,3.896400928497314453e+00
3.999999761581420898e-01,3.498472213745117188e+00,4.060244083404541016e+00
4.399999976158142090e-01,3.663905858993530273e+00,3.881034851074218750e+00
4.799999892711639404e-01,3.640817165374755859e+00,4.083562850952148438e+00
5.199999809265136719e-01,3.505331754684448242e+00,4.086435794830322266e+00
5.600000023841857910e-01,3.684508562088012695e+00,4.137816429138183594e+00
5.999999642372131348e-01,3.614491224288940430e+00,3.858012914657592773e+00
6.399999856948852539e-01,3.564569473266601562e+00,3.705337762832641602e+00
6.800000071525573730e-01,3.630702257156372070e+00,4.082593441009521484e+00
7.199999690055847168e-01,3.594069004058837891e+00,3.990332841873168945e+00
7.599999904632568359e-01,3.714607477188110352e+00,4.076881408691406250e+00
7.999999523162841797e-01,3.598520517349243164e+00,3.820884943008422852e+00
8.399999737739562988e-01,3.568192481994628906e+00,3.757088422775268555e+00
8.799999952316284180e-01,3.691989421844482422e+00,3.731760501861572266e+00
9.199999570846557617e-01,3.521209001541137695e+00,3.938495874404907227e+00
9.599999785423278809e-01,3.685831308364868164e+00,4.043477058410644531e+00
1.000000000000000000e+00,3.518139362335205078e+00,3.953079938888549805e+00
1.039999961853027344e+00,3.659354686737060547e+00,4.034885406494140625e+00
1.079999923706054688e+00,3.597013950347900391e+00,4.066282749176025391e+00
1.120000004768371582e+00,3.573870897293090820e+00,4.259110450744628906e+00
1.159999966621398926e+00,3.634027004241943359e+00,4.180099964141845703e+00
