time_ps,cv1_A,cv2_A
0.000000000000000000e+00,3.474805831909179688e+00,3.958497762680053711e+00
3.999999910593032837e-02,3.405552148818969727e+00,4.091099739074707031e+00
7.999999821186065674e-02,3.431946992874145508e+00,4.326010227203369141e+00
1.199999973177909851e-01,3.477882385253906250e+00,4.337548255920410156e+00
1.599999964237213135e-01,3.477569103240966797e+00,4.241543292999267578e+00
1.999999880790710449e-01,3.400533914566040039e+00,4.190495014190673828e+00
2.399999946355819702e-01,3.496862649917602539e+00,4.083335399627685547e+00
2.800000011920928955e-01,3.386117458343505859e+00,4.037107467651367188e+00
3.199999928474426270e-01,3.603697538375854492e+00,4.085756301879882812e+00
3.599999845027923584e-01,3.336168289184570312e+00,4.067609786987304688e+00
3.999999761581420898e-01,3.442547321319580078e+00,4.129330635070800781e+00
4.399999976158142090e-01,3.511270284652709961e+00,3.982096195220947266e+00
4.799999892711639404e-01,3.527888059616088867e+00,4.044064521789550781e+00
5.199999809265136719e-01,3.426986217498779297e+00,4.197277069091796875e+00
5.600000023841857910e-01,3.453120946884155273e+00,4.074452400207519531e+00
5.999999642372131348e-01,3.361952781677246094e+00,4.347479343414306641e+00
6.399999856948852539e-01,3.530737876892089844e+00,4.079525470733642578e+00
6.800000071525573730e-01,3.387678384780883789e+00,4.161634445190429688e+00
7.199999690055847168e-01,3.533624172210693359e+00,4.087065696716308594e+00
7.599999904632568359e-01,3.419622182846069336e+00,4.242516517639160156e+00
7.999999523162841797e-01,3.507218122482299805e+00,4.324334144592285156e+00
8.399999737739562988e-01,3.340759754180908203e+00,4.256411075592041016e+00
8.799999952316284180e-01,3.520476102828979492e+00,4.311399459838867188e+00
9.199999570846557617e-01,3.350232839584350586e+00,4.140937328338623047e+00
9.599999785423278809e-01,3.482698678970336914e+00,4.165246963500976562e+00
1.000000000000000000e+00,3.459292650222778320e+00,4.258253097534179688e+00
1.039999961853027344e+00,3.429484128952026367e+00,3.916350364685058594e+00
1.079999923706054688e+00,3.406649827957153320e+00,4.117154598236083984e+00
1.120000004768371582e+00,3.447638273239135742e+00,4.233747005462646484e+00
1.159999966621398926e+00,3.471342325210571289e+00,4.305771827697753906e+00
1.199999928474426270e+00,3.430542230606079102e+00,4.055182456970214844e+00
1.240000009536743164e+00,3.415957450866699219e+00,3.908967256546020508e+00
1.279999971389770508e+00,3.477450370788574219e+00,4.032334804534912109e+00
1.319999933242797852e+00,3.497967243194580078e+00,4.138095378875732422e+00
1.360000014305114746e+00,3.491430521011352539e+00,4.288120269775390625e+00
1.399999976158142090e+00,3.425515890121459961e+00,4.282997608184814453e+00
1.439999938011169434e+00,3.340251684188842773e+00,4.350489616394042969e+00
1.480000019073486328e+00,3.424228906631469727e+00,4.407293319702148438e+00
1.519999980926513672e+00,3.478200674057006836e+00,4.279298782348632812e+00
1.559999942779541016e+00,3.421057701110839844e+00,4.190613269805908203e+00
1.599999904632568359e+00,3.523474693298339844e+00,4.117787837982177734e+00
1.639999985694885254e+00,3.359116077423095703e+00,3.999678611755371094e+00
1.679999947547912598e+00,3.564163684844970703e+00,3.954701900482177734e+00
1.719999909400939941e+00,3.513488292694091797e+00,3.994823932647705078e+00
1.759999990463256836e+00,3.438783645629882812e+00,4.139345645904541016e+00
1.799999952316284180e+00,3.540593624114990234e+00,4.086715698242187500e+00
1.839999914169311523e+00,3.455393075942993164e+00,4.239568233489990234e+00
1.879999995231628418e+00,3.451104164123535156e+00,4.260123729705810547e+00
1.919999957084655762e+00,3.409854888916015625e+00,4.157299041748046875e+00
1.959999918937683105e+00,3.454979896545410156e+00,4.278573989868164062e+00
2.000000000000000000e+00,3.368221282958984375e+00,4.239580631256103516e+00
2.039999961853027344e+00,3.462213516235351562e+00,4.145605087280273438e+00
2.079999923706054688e+00,3.547371625900268555e+00,4.086463928222656250e+00
2.119999885559082031e+00,3.372662305831909180e+00,4.126375198364257812e+00
2.159999847412109375e+00,3.560114145278930664e+00,4.079086303710937500e+00
2.200000047683715820e+00,3.325042247772216797e+00,4.077432632446289062e+00
2.240000009536743164e+00,3.451779842376708984e+00,4.096058845520019531e+00
2.279999971389770508e+00,3.453724861145019531e+00,4.155849456787109375e+00
2.319999933242797852e+00,3.449031114578247070e+00,4.246250152587890625e+00
2.359999895095825195e+00,3.435535669326782227e+00,4.033260822296142578e+00
2.399999856948852539e+00,3.514067888259887695e+00,4.036487102508544922e+00
2.440000057220458984e+00,3.446697711944580078e+00,3.904885292053222656e+00
2.480000019073486328e+00,3.419995307922363281e+00,4.055349826812744141e+00
2.519999980926513672e+00,3.438637495040893555e+00,4.170094013214111328e+00
2.559999942779541016e+00,3.485851764678955078e+00,4.110971927642822266e+00
2.599999904632568359e+00,3.462827205657958984e+00,4.328104496002197266e+00
2.639999866485595703e+00,3.478421688079833984e+00,4.272051811218261719e+00
2.679999828338623047e+00,3.506226301193237305e+00,4.120490550994873047e+00
2.720000028610229492e+00,3.378100395202636719e+00,4.289128303527832031e+00
2.759999990463256836e+00,3.433701515197753906e+00,4.258811950683593750e+00
2.799999952316284180e+00,3.455152750015258789e+00,4.270743370056152344e+00
2.839999914169311523e+00,3.424253940582275391e+00,3.872985124588012695e+00
2.879999876022338867e+00,3.527895689010620117e+00,4.108724117279052734e+00
2.919999837875366211e+00,3.393363714218139648e+00,4.291022777557373047e+00
2.960000038146972656e+00,3.488148927688598633e+00,4.206242561340332031e+00
3.000000000000000000e+00,3.416274309158325195e+00,4.202820777893066406e+00
3.039999961853027344e+00,3.454452276229858398e+00,4.156358242034912109e+00
3.079999923706054688e+00,3.476255416870117188e+00,4.238123893737792969e+00
3.119999885559082031e+00,3.545013904571533203e+00,4.091758251190185547e+00
3.159999847412109375e+00,3.430141687393188477e+00,4.156647205352783203e+00
3.199999809265136719e+00,3.518030166625976562e+00,4.092278003692626953e+00
3.240000009536743164e+00,3.415503025054931641e+00,4.385405063629150391e+00
3.279999971389770508e+00,3.368834018707275391e+00,4.170610904693603516e+00
3.319999933242797852e+00,3.468945741653442383e+00,4.103772163391113281e+00
3.359999895095825195e+00,3.397414445877075195e+00,4.186215877532958984e+00
3.399999856948852539e+00,3.457129001617431641e+00,4.180825233459472656e+00
3.439999818801879883e+00,3.410624504089355469e+00,4.359702110290527344e+00
3.480000019073486328e+00,3.453713417053222656e+00,4.185207843780517578e+00
3.519999980926513672e+00,3.433116674423217773e+00,4.137573242187500000e+00
3.559999942779541016e+00,3.492661714553833008e+00,4.051274776458740234e+00
3.599999904632568359e+00,3.378736734390258789e+00,3.847428083419799805e+00
3.639999866485595703e+00,3.418556213378906250e+00,3.783515691757202148e+00
3.679999828338623047e+00,3.505816459655761719e+00,4.029564857482910156e+00
3.720000028610229492e+00,3.395118474960327148e+00,3.899803876876831055e+00
3.759999990463256836e+00,3.467872858047485352e+00,3.857229471206665039e+00
3.799999952316284180e+00,3.485287666320800781e+00,4.039744853973388672e+00
3.839999914169311523e+00,3.445300340652465820e+00,4.183749675750732422e+00
3.879999876022338867e+00,3.455043554306030273e+00,4.278844833374023438e+00
3.919999837875366211e+00,3.496316194534301758e+00,4.230122089385986328e+00
3.959999799728393555e+00,3.452599525451660156e+00,4.412074089050292969e+00
