time_ps,cv1_A,cv2_A
0.000000000000000000e+00,3.301279783248901367e+00,4.393605709075927734e+00
3.999999910593032837e-02,3.335361957550048828e+00,4.359783172607421875e+00
7.999999821186065674e-02,3.304240942001342773e+00,3.997292518615722656e+00
1.199999973177909851e-01,3.344190120697021484e+00,4.108668327331542969e+00
1.599999964237213135e-01,3.327944040298461914e+00,4.311439990997314453e+00
1.999999880790710449e-01,3.307572364807128906e+00,4.434686183929443359e+00
2.399999946355819702e-01,3.283912420272827148e+00,4.287628650665283203e+00
2.800000011920928955e-01,3.365531206130981445e+00,4.098737239837646484e+00
3.199999928474426270e-01,3.320721387863159180e+00,4.181538581848144531e+00
3.599999845027923584e-01,3.336431980133056641e+00,4.069946765899658203e+00
3.999999761581420898e-01,3.335398435592651367e+00,4.094473361968994141e+00
4.399999976158142090e-01,3.328757047653198242e+00,4.241883754730224609e+00
4.799999892711639404e-01,3.321462869644165039e+00,4.423640251159667969e+00
5.199999809265136719e-01,3.269063472747802734e+00,4.439889907836914062e+00
5.600000023841857910e-01,3.306311130523681641e+00,4.350172042846679688e+00
5.999999642372131348e-01,3.272853374481201172e+00,4.378472328186035156e+00
6.399999856948852539e-01,3.329845428466796875e+00,4.238202095031738281e+00
6.800000071525573730e-01,3.364914417266845703e+00,4.180649757385253906e+00
7.199999690055847168e-01,3.258871078491210938e+00,4.543213844299316406e+00
7.599999904632568359e-01,3.264438629150390625e+00,4.320993423461914062e+00
7.999999523162841797e-01,3.349857568740844727e+00,4.243928909301757812e+00
8.399999737739562988e-01,3.321048498153686523e+00,4.362846374511718750e+00
8.799999952316284180e-01,3.396791458129882812e+00,4.428193092346191406e+00
9.199999570846557617e-01,3.324315786361694336e+00,4.270864009857177734e+00
9.599999785423278809e-01,3.362178564071655273e+00,4.211699485778808594e+00
1.000000000000000000e+00,3.338950872421264648e+00,4.332949638366699219e+00
1.039999961853027344e+00,3.304884910583496094e+00,4.421511650085449219e+00
1.079999923706054688e+00,3.346190452575683594e+00,4.446090221405029297e+00
1.120000004768371582e+00,3.307135343551635742e+00,4.431064605712890625e+00
1.159999966621398926e+00,3.149728536605834961e+00,4.356534957885742188e+00
1.199999928474426270e+00,3.348570823669433594e+00,4.439322471618652344e+00
1.240000009536743164e+00,3.301294803619384766e+00,4.331095695495605469e+00
1.279999971389770508e+00,3.348686933517456055e+00,4.120313644409179688e+00
1.319999933242797852e+00,3.227977991104125977e+00,3.982608795166015625e+00
1.360000014305114746e+00,3.361890554428100586e+00,4.218389511108398438e+00
