time_ps,cv1_A,cv2_A
0.000000000000000000e+00,3.548970699310302734e+00,4.137087345123291016e+00
3.999999910593032837e-02,3.513089418411254883e+00,4.061062335968017578e+00
7.999999821186065674e-02,3.445121765136718750e+00,4.094144344329833984e+00
1.199999973177909851e-01,3.508433341979980469e+00,3.968933582305908203e+00
1.599999964237213135e-01,3.474802494049072266e+00,4.044151306152343750e+00
1.999999880790710449e-01,3.506841659545898438e+00,3.983019351959228516e+00
2.399999946355819702e-01,3.509011983871459961e+00,4.102454185485839844e+00
2.800000011920928955e-01,3.512115716934204102e+00,4.145035743713378906e+00
3.199999928474426270e-01,3.440706968307495117e+00,4.123714447021484375e+00
3.599999845027923584e-01,3.616867780685424805e+00,4.021512508392333984e+00
3.999999761581420898e-01,3.396358966827392578e+00,4.213663101196289062e+00
4.399999976158142090e-01,3.526629447937011719e+00,3.964518070220947266e+00
4.799999892711639404e-01,3.476490974426269531e+00,3.976466894149780273e+00
5.199999809265136719e-01,3.444225788116455078e+00,4.006692409515380859e+00
5.600000023841857910e-01,3.548576831817626953e+00,4.208953380584716797e+00
5.999999642372131348e-01,3.385521173477172852e+00,4.299164295196533203e+00
6.399999856948852539e-01,3.551269769668579102e+00,4.003101825714111328e+00
6.800000071525573730e-01,3.414211273193359375e+00,3.936358451843261719e+00
7.199999690055847168e-01,3.536928415298461914e+00,3.899673938751220703e+00
7.599999904632568359e-01,3.492429733276367188e+00,3.846911668777465820e+00
7.999999523162841797e-01,3.508999824523925781e+00,3.885480403900146484e+00
8.399999737739562988e-01,3.517479658126831055e+00,4.136151313781738281e+00
8.799999952316284180e-01,3.414304733276367188e+00,4.083721637725830078e+00
9.199999570846557617e-01,3.562255382537841797e+00,3.881197929382324219e+00
9.599999785423278809e-01,3.394435882568359375e+00,3.905148506164550781e+00
1.000000000000000000e+00,3.537523508071899414e+00,4.158255100250244141e+00
1.039999961853027344e+00,3.525205850601196289e+00,3.951292753219604492e+00
1.079999923706054688e+00,3.442136049270629883e+00,3.886127948760986328e+00
1.120000004768371582e+00,3.480901956558227539e+00,3.841101408004760742e+00
1.159999966621398926e+00,3.538383245468139648e+00,3.852003335952758789e+00
1.199999928474426270e+00,3.421327352523803711e+00,3.993202447891235352e+00
1.240000009536743164e+00,3.447443008422851562e+00,4.027263641357421875e+00
1.279999971389770508e+00,3.485591411590576172e+00,3.998669385910034180e+00
1.319999933242797852e+00,3.516194581985473633e+00,4.347817897796630859e+00
1.360000014305114746e+00,3.532813310623168945e+00,4.216536998748779297e+00
1.399999976158142090e+00,3.449743747711181641e+00,4.082378387451171875e+00
1.439999938011169434e+00,3.439414501190185547e+00,3.930370807647705078e+00
1.480000019073486328e+00,3.471674919128417969e+00,3.876657247543334961e+00
1.519999980926513672e+00,3.515742301940917969e+00,4.047834873199462891e+00
1.559999942779541016e+00,3.609668493270874023e+00,4.019912242889404297e+00
1.599999904632568359e+00,3.439700365066528320e+00,4.138216018676757812e+00
1.639999985694885254e+00,3.510942459106445312e+00,4.044441223144531250e+00
1.679999947547912598e+00,3.459488630294799805e+00,3.897743225097656250e+00
1.719999909400939941e+00,3.524983644485473633e+00,4.054831027984619141e+00
1.759999990463256836e+00,3.422164201736450195e+00,3.814525365829467773e+00
1.799999952316284180e+00,3.604395866394042969e+00,3.855364084243774414e+00
1.839999914169311523e+00,3.408446073532104492e+00,3.935910224914550781e+00
1.879999995231628418e+00,3.572704792022705078e+00,3.999924898147583008e+00
1.919999957084655762e+00,3.497853517532348633e+00,4.050892829895019531e+00
1.959999918937683105e+00,3.480131149291992188e+00,4.135321140289306641e+00
2.000000000000000000e+00,3.471134424209594727e+00,4.185703277587890625e+00
2.039999961853027344e+00,3.447336196899414062e+00,4.200520515441894531e+00
2.079999923706054688e+00,3.467993497848510742e+00,4.024675369262695312e+00
2.119999885559082031e+00,3.477285623550415039e+00,3.831330537796020508e+00
2.159999847412109375e+00,3.453764200210571289e+00,4.010538101196289062e+00
2.200000047683715820e+00,3.466249704360961914e+00,4.147935867309570312e+00
2.240000009536743164e+00,3.514500379562377930e+00,4.110620975494384766e+00
2.279999971389770508e+00,3.458777427673339844e+00,3.961924314498901367e+00
2.319999933242797852e+00,3.510823249816894531e+00,4.245419979095458984e+00
2.359999895095825195e+00,3.443991184234619141e+00,4.026543140411376953e+00
2.399999856948852539e+00,3.492678642272949219e+00,3.743560075759887695e+00
2.440000057220458984e+00,3.491451501846313477e+00,3.697017908096313477e+00
2.480000019073486328e+00,3.495549440383911133e+00,3.987988948822021484e+00
2.519999980926513672e+00,3.597286224365234375e+00,3.987960577011108398e+00
2.559999942779541016e+00,3.560051679611206055e+00,3.912062644958496094e+00
2.599999904632568359e+00,3.464976310729980469e+00,4.074817180633544922e+00
2.639999866485595703e+00,3.502603054046630859e+00,3.881276845932006836e+00
2.679999828338623047e+00,3.483238220214843750e+00,3.955854177474975586e+00
2.720000028610229492e+00,3.466095685958862305e+00,3.854210615158081055e+00
2.759999990463256836e+00,3.403650045394897461e+00,3.924227952957153320e+00
2.799999952316284180e+00,3.514229774475097656e+00,4.116158008575439453e+00
2.839999914169311523e+00,3.532250642776489258e+00,4.023096084594726562e+00
2.879999876022338867e+00,3.473016500473022461e+00,4.029736995697021484e+00
2.919999837875366211e+00,3.452944993972778320e+00,3.941634654998779297e+00
2.960000038146972656e+00,3.501254558563232422e+00,4.077654838562011719e+00
3.000000000000000000e+00,3.471294879913330078e+00,4.096550464630126953e+00
3.039999961853027344e+00,3.399310588836669922e+00,4.146142482757568359e+00
3.079999923706054688e+00,3.634051799774169922e+00,4.068745136260986328e+00
3.119999885559082031e+00,3.466610193252563477e+00,4.059844970703125000e+00
