time_ps,cv1_A,cv2_A
1.079999923706054688e+00,3.349112033843994141e+00,4.497039318084716797e+00
1.120000004768371582e+00,3.412807464599609375e+00,4.500201702117919922e+00
1.159999966621398926e+00,3.393324375152587891e+00,4.206367492675781250e+00
1.199999928474426270e+00,3.342937469482421875e+00,4.273561477661132812e+00
1.240000009536743164e+00,3.356782913208007812e+00,4.423665523529052734e+00
1.279999971389770508e+00,3.392130851745605469e+00,4.400887966156005859e+00
1.319999933242797852e+00,3.448331117630004883e+00,4.340266704559326172e+00
1.360000014305114746e+00,3.349735260009765625e+00,4.493989467620849609e+00
1.399999976158142090e+00,3.361609220504760742e+00,4.520159244537353516e+00
1.439999938011169434e+00,3.453679323196411133e+00,4.346437931060791016e+00
1.480000019073486328e+00,3.297899961471557617e+00,4.275882720947265625e+00
1.519999980926513672e+00,3.413171529769897461e+00,4.302492618560791016e+00
1.559999942779541016e+00,3.309015750885009766e+00,4.381076335906982422e+00
1.599999904632568359e+00,3.393639326095581055e+00,4.439093112945556641e+00
1.639999985694885254e+00,3.439450740814208984e+00,4.596132278442382812e+00
1.679999947547912598e+00,3.282001972198486328e+00,4.244456768035888672e+00
1.719999909400939941e+00,3.461446523666381836e+00,4.283578395843505859e+00
1.759999990463256836e+00,3.293127536773681641e+00,4.429636001586914062e+00
1.799999952316284180e+00,3.376886367797851562e+00,4.227599620819091797e+00
1.839999914169311523e+00,3.380660295486450195e+00,4.326708316802978516e+00
1.879999995231628418e+00,3.312989473342895508e+00,4.257081031799316406e+00
1.919999957084655762e+00,3.403491258621215820e+00,4.457075595855712891e+00
1.959999918937683105e+00,3.367000341415405273e+00,4.506621837615966797e+00
2.000000000000000000e+00,3.380906343460083008e+00,4.370507717132568359e+00
2.039999961853027344e+00,3.319121122360229492e+00,4.352546691894531250e+00
2.079999923706054688e+00,3.360768556594848633e+00,4.263545513153076172e+00
2.119999885559082031e+00,3.458056926727294922e+00,4.307489395141601562e+00
2.159999847412109375e+00,3.293958902359008789e+00,4.161505699157714844e+00
2.200000047683715820e+00,3.425647974014282227e+00,4.265080928802490234e+00
2.240000009536743164e+00,3.347375869750976562e+00,4.327113628387451172e+00
2.279999971389770508e+00,3.384988546371459961e+00,4.182466983795166016e+00
2.319999933242797852e+00,3.360137462615966797e+00,4.280723094940185547e+00
2.359999895095825195e+00,3.423964977264404297e+00,4.393965721130371094e+00
2.399999856948852539e+00,3.274160861968994141e+00,4.267355918884277344e+00
2.440000057220458984e+00,3.467577219009399414e+00,4.200799465179443359e+00
2.480000019073486328e+00,3.344160318374633789e+00,4.278006553649902344e+00
2.519999980926513672e+00,3.394428730010986328e+00,4.474436283111572266e+00
2.559999942779541016e+00,3.422518491744995117e+00,4.415305137634277344e+00
2.599999904632568359e+00,3.360717773437500000e+00,4.447325706481933594e+00
2.639999866485595703e+00,3.360056877136230469e+00,4.228041172027587891e+00
2.679999828338623047e+00,3.386362552642822266e+00,4.212174892425537109e+00
2.720000028610229492e+00,3.347765445709228516e+00,4.459910869598388672e+00
2.759999990463256836e+00,3.354163646697998047e+00,4.467859268188476562e+00
2.799999952316284180e+00,3.390357971191406250e+00,4.427562713623046875e+00
2.839999914169311523e+00,3.338354825973510742e+00,4.015801429748535156e+00
2.879999876022338867e+00,3.360277175903320312e+00,4.417649269104003906e+00
2.919999837875366211e+00,3.418749332427978516e+00,4.385907649993896484e+00
2.960000038146972656e+00,3.368047475814819336e+00,4.280485630035400391e+00
3.000000000000000000e+00,3.300614595413208008e+00,4.334720611572265625e+00
3.039999961853027344e+00,3.431482076644897461e+00,4.381823062896728516e+00
3.079999923706054688e+00,3.315711498260498047e+00,4.421988010406494141e+00
3.119999885559082031e+00,3.422321081161499023e+00,4.064649581909179688e+00
3.159999847412109375e+00,3.367190837860107422e+00,4.317169666290283203e+00
3.199999809265136719e+00,3.414895057678222656e+00,4.420622348785400391e+00
3.240000009536743164e+00,3.366094112396240234e+00,4.401157855987548828e+00
3.279999971389770508e+00,3.387346029281616211e+00,4.367166996002197266e+00
3.319999933242797852e+00,3.400026321411132812e+00,4.224541664123535156e+00
3.359999895095825195e+00,3.389131784439086914e+00,4.534507751464843750e+00
3.399999856948852539e+00,3.370517492294311523e+00,4.627605915069580078e+00
3.439999818801879883e+00,3.355277538299560547e+00,4.297399520874023438e+00
3.480000019073486328e+00,3.465197801589965820e+00,4.068479537963867188e+00
3.519999980926513672e+00,3.347343206405639648e+00,4.235165119171142578e+00
3.559999942779541016e+00,3.287570476531982422e+00,4.555261135101318359e+00
3.599999904632568359e+00,3.418380737304687500e+00,4.593840122222900391e+00
3.639999866485595703e+00,3.380756139755249023e+00,4.374763965606689453e+00
3.679999828338623047e+00,3.370446681976318359e+00,4.253350257873535156e+00
3.720000028610229492e+00,3.411941289901733398e+00,4.472610473632812500e+00
3.759999990463256836e+00,3.363602638244628906e+00,4.389560222625732422e+00
3.799999952316284180e+00,3.394474029541015625e+00,4.371075630187988281e+00
3.839999914169311523e+00,3.436192274093627930e+00,4.323321342468261719e+00
3.879999876022338867e+00,3.291104078292846680e+00,4.351591110229492188e+00
3.919999837875366211e+00,3.414905309677124023e+00,4.475426197052001953e+00
3.959999799728393555e+00,3.349169254302978516e+00,4.318164825439453125e+00
