time_ps,cv1_A,cv2_A
0.000000000000000000e+00,3.446898221969604492e+00,4.115718841552734375e+00
3.999999910593032837e-02,3.501574516296386719e+00,4.133745670318603516e+00
7.999999821186065674e-02,3.485601663589477539e+00,4.001708030700683594e+00
1.199999973177909851e-01,3.496300935745239258e+00,3.980474233627319336e+00
1.599999964237213135e-01,3.606149435043334961e+00,4.364110469818115234e+00
1.999999880790710449e-01,3.399661540985107422e+00,4.168133258819580078e+00
2.399999946355819702e-01,3.544831514358520508e+00,4.061717510223388672e+00
2.800000011920928955e-01,3.416628599166870117e+00,4.006365299224853516e+00
3.199999928474426270e-01,3.566175937652587891e+00,4.038137912750244141e+00
3.599999845027923584e-01,3.430581569671630859e+00,4.082516193389892578e+00
3.999999761581420898e-01,3.487352132797241211e+00,4.095702648162841797e+00
4.399999976158142090e-01,3.438165664672851562e+00,4.243992328643798828e+00
4.799999892711639404e-01,3.547898530960083008e+00,4.155545234680175781e+00
5.199999809265136719e-01,3.532994985580444336e+00,4.018938064575195312e+00
5.600000023841857910e-01,3.510731220245361328e+00,4.003652095794677734e+00
5.999999642372131348e-01,3.554578542709350586e+00,4.244384765625000000e+00
6.399999856948852539e-01,3.429858684539794922e+00,3.872972011566162109e+00
6.800000071525573730e-01,3.463511943817138672e+00,3.802161931991577148e+00
7.199999690055847168e-01,3.461777210235595703e+00,3.934909105300903320e+00
7.599999904632568359e-01,3.498261213302612305e+00,4.031409263610839844e+00
7.999999523162841797e-01,3.622944593429565430e+00,3.954033851623535156e+00
8.399999737739562988e-01,3.398288011550903320e+00,4.088299274444580078e+00
8.799999952316284180e-01,3.498460769653320312e+00,4.223886489868164062e+00
9.199999570846557617e-01,3.472425937652587891e+00,4.163555145263671875e+00
9.599999785423278809e-01,3.600836753845214844e+00,4.221442699432373047e+00
1.000000000000000000e+00,3.384416818618774414e+00,4.222218036651611328e+00
1.039999961853027344e+00,3.636659383773803711e+00,4.122481822967529297e+00
1.079999923706054688e+00,3.425932407379150391e+00,4.305279254913330078e+00
1.120000004768371582e+00,3.551650524139404297e+00,4.251292705535888672e+00
1.159999966621398926e+00,3.472857713699340820e+00,4.238513946533203125e+00
1.199999928474426270e+00,3.458704233169555664e+00,4.125809669494628906e+00
1.240000009536743164e+00,3.505775690078735352e+00,3.897264719009399414e+00
1.279999971389770508e+00,3.455563068389892578e+00,3.935810804367065430e+00
1.319999933242797852e+00,3.523617744445800781e+00,3.983217477798461914e+00
1.360000014305114746e+00,3.392350435256958008e+00,4.009974002838134766e+00
1.399999976158142090e+00,3.514834880828857422e+00,4.065805435180664062e+00
1.439999938011169434e+00,3.502320528030395508e+00,4.072283267974853516e+00
1.480000019073486328e+00,3.547078609466552734e+00,3.970388650894165039e+00
1.519999980926513672e+00,3.510214567184448242e+00,3.882058858871459961e+00
1.559999942779541016e+00,3.497072458267211914e+00,4.131780147552490234e+00
1.599999904632568359e+00,3.467089891433715820e+00,4.233673572540283203e+00
1.639999985694885254e+00,3.505968570709228516e+00,4.153375625610351562e+00
1.679999947547912598e+00,3.401841163635253906e+00,3.880774497985839844e+00
1.719999909400939941e+00,3.405278205871582031e+00,3.953354597091674805e+00
1.759999990463256836e+00,3.620357036590576172e+00,3.929241180419921875e+00
1.799999952316284180e+00,3.481178283691406250e+00,3.810612916946411133e+00
1.839999914169311523e+00,3.486848592758178711e+00,3.876121997833251953e+00
1.879999995231628418e+00,3.481169223785400391e+00,3.963575124740600586e+00
1.919999957084655762e+00,3.470163106918334961e+00,3.875097751617431641e+00
1.959999918937683105e+00,3.538347005844116211e+00,3.980608701705932617e+00
2.000000000000000000e+00,3.406779289245605469e+00,3.977651834487915039e+00
2.039999961853027344e+00,3.482025861740112305e+00,3.944860696792602539e+00
2.079999923706054688e+00,3.586415052413940430e+00,4.121297836303710938e+00
2.119999885559082031e+00,3.475958347320556641e+00,4.039263725280761719e+00
2.159999847412109375e+00,3.463654041290283203e+00,3.896711349487304688e+00
2.200000047683715820e+00,3.486902952194213867e+00,3.844290494918823242e+00
2.240000009536743164e+00,3.548265695571899414e+00,4.098515987396240234e+00
2.279999971389770508e+00,3.469983577728271484e+00,4.008531570434570312e+00
2.319999933242797852e+00,3.539919853210449219e+00,4.283426761627197266e+00
2.359999895095825195e+00,3.453853130340576172e+00,4.272528648376464844e+00
2.399999856948852539e+00,3.453599214553833008e+00,4.119149208068847656e+00
2.440000057220458984e+00,3.487747907638549805e+00,4.056635856628417969e+00
2.480000019073486328e+00,3.563146829605102539e+00,4.073231220245361328e+00
2.519999980926513672e+00,3.414692640304565430e+00,4.230080127716064453e+00
2.559999942779541016e+00,3.540694952011108398e+00,3.894511222839355469e+00
2.599999904632568359e+00,3.432960271835327148e+00,3.925008058547973633e+00
2.639999866485595703e+00,3.411368608474731445e+00,4.098874568939208984e+00
