time_ps,cv1_A,cv2_A
0.000000000000000000e+00,3.688935995101928711e+00,4.160847663879394531e+00
3.999999910593032837e-02,3.564882278442382812e+00,4.086103916168212891e+00
7.999999821186065674e-02,3.556115388870239258e+00,4.036819934844970703e+00
1.199999973177909851e-01,3.522424936294555664e+00,3.964012861251831055e+00
1.599999964237213135e-01,3.580800771713256836e+00,3.998953104019165039e+00
1.999999880790710449e-01,3.513990640640258789e+00,4.069205760955810547e+00
2.399999946355819702e-01,3.567770957946777344e+00,3.810357809066772461e+00
2.800000011920928955e-01,3.607141494750976562e+00,3.777456045150756836e+00
3.199999928474426270e-01,3.524395227432250977e+00,3.730531454086303711e+00
3.599999845027923584e-01,3.600943326950073242e+00,4.155459403991699219e+00
3.999999761581420898e-01,3.547855854034423828e+00,4.131595134735107422e+00
4.399999976158142090e-01,3.570459842681884766e+00,4.088477134704589844e+00
4.799999892711639404e-01,3.740057706832885742e+00,4.052502155303955078e+00
5.199999809265136719e-01,3.482782125473022461e+00,4.034498214721679688e+00
5.600000023841857910e-01,3.657171487808227539e+00,3.795174837112426758e+00
5.999999642372131348e-01,3.601103305816650391e+00,3.886779785156250000e+00
6.399999856948852539e-01,3.562606811523437500e+00,3.844043731689453125e+00
6.800000071525573730e-01,3.600792884826660156e+00,4.019140243530273438e+00
7.199999690055847168e-01,3.524113178253173828e+00,4.302135467529296875e+00
7.599999904632568359e-01,3.629978418350219727e+00,4.102892875671386719e+00
7.999999523162841797e-01,3.551884889602661133e+00,4.119074344635009766e+00
8.399999737739562988e-01,3.590841531753540039e+00,4.220589160919189453e+00
8.799999952316284180e-01,3.635262966156005859e+00,4.160304069519042969e+00
9.199999570846557617e-01,3.521830558776855469e+00,3.939742565155029297e+00
9.599999785423278809e-01,3.712341785430908203e+00,4.199659347534179688e+00
1.000000000000000000e+00,3.585127353668212891e+00,4.166192054748535156e+00
1.039999961853027344e+00,3.612610578536987305e+00,4.225512981414794922e+00
1.079999923706054688e+00,3.752137660980224609e+00,4.214949607849121094e+00
1.120000004768371582e+00,3.400757074356079102e+00,4.070748329162597656e+00
1.159999966621398926e+00,3.618738174438476562e+00,3.962897777557373047e+00
1.199999928474426270e+00,3.482246875762939453e+00,4.152110576629638672e+00
1.240000009536743164e+00,3.574971199035644531e+00,4.206668853759765625e+00
1.279999971389770508e+00,3.562889337539672852e+00,4.148943901062011719e+00
1.319999933242797852e+00,3.622639656066894531e+00,4.214144229888916016e+00
1.360000014305114746e+00,3.560339212417602539e+00,4.083521842956542969e+00
1.399999976158142090e+00,3.608280420303344727e+00,4.082030296325683594e+00
1.439999938011169434e+00,3.722865104675292969e+00,4.110352516174316406e+00
1.480000019073486328e+00,3.613173961639404297e+00,4.382437229156494141e+00
1.519999980926513672e+00,3.584363937377929688e+00,4.078901290893554688e+00
1.559999942779541016e+00,3.694193601608276367e+00,4.183883666992187500e+00
1.599999904632568359e+00,3.651535511016845703e+00,4.102846145629882812e+00
1.639999985694885254e+00,3.554914951324462891e+00,3.907049655914306641e+00
1.679999947547912598e+00,3.622212409973144531e+00,4.106969356536865234e+00
1.719999909400939941e+00,3.558170318603515625e+00,3.958557367324829102e+00
1.759999990463256836e+00,3.622037410736083984e+00,4.146135807037353516e+00
1.799999952316284180e+00,3.649578809738159180e+00,4.260557651519775391e+00
1.839999914169311523e+00,3.602157354354858398e+00,4.126446247100830078e+00
1.879999995231628418e+00,3.592978000640869141e+00,4.050877571105957031e+00
1.919999957084655762e+00,3.702986717224121094e+00,4.166057109832763672e+00
1.959999918937683105e+00,3.576702594757080078e+00,4.003817558288574219e+00
2.000000000000000000e+00,3.648786783218383789e+00,4.179607868194580078e+00
2.039999961853027344e+00,3.523427486419677734e+00,4.242766857147216797e+00
2.079999923706054688e+00,3.689008712768554688e+00,4.084368228912353516e+00
2.119999885559082031e+00,3.902467727661132812e+00,4.399105548858642578e+00
2.159999847412109375e+00,3.493526220321655273e+00,4.185787200927734375e+00
2.200000047683715820e+00,3.683354139328002930e+00,4.137143611907958984e+00
2.240000009536743164e+00,3.549898624420166016e+00,4.150573730468750000e+00
2.279999971389770508e+00,3.548528194427490234e+00,4.123110771179199219e+00
2.319999933242797852e+00,3.639935970306396484e+00,4.186532020568847656e+00
2.359999895095825195e+00,3.479185104370117188e+00,4.020639419555664062e+00
2.399999856948852539e+00,3.680391073226928711e+00,4.060666084289550781e+00
2.440000057220458984e+00,3.569864988327026367e+00,3.986705064773559570e+00
2.480000019073486328e+00,3.661175489425659180e+00,3.875864267349243164e+00
2.519999980926513672e+00,3.594071388244628906e+00,3.911819219589233398e+00
2.559999942779541016e+00,3.624658823013305664e+00,4.063131809234619141e+00
2.599999904632568359e+00,3.543757915496826172e+00,4.162308692932128906e+00
2.639999866485595703e+00,3.591239452362060547e+00,4.236517429351806641e+00
2.679999828338623047e+00,3.660625219345092773e+00,4.101893424987792969e+00
2.720000028610229492e+00,3.617491483688354492e+00,4.198064327239990234e+00
2.759999990463256836e+00,3.741838216781616211e+00,4.084000110626220703e+00
2.799999952316284180e+00,3.733477830886840820e+00,4.080027103424072266e+00
2.839999914169311523e+00,3.575628995895385742e+00,4.241002082824707031e+00
2.879999876022338867e+00,3.549134254455566406e+00,4.027189731597900391e+00
2.919999837875366211e+00,3.665403127670288086e+00,4.346526145935058594e+00
2.960000038146972656e+00,3.546679258346557617e+00,4.216879367828369141e+00
3.000000000000000000e+00,3.516506910324096680e+00,4.186036109924316406e+00
3.039999961853027344e+00,3.704367876052856445e+00,4.358840942382812500e+00
3.079999923706054688e+00,3.642105340957641602e+00,4.279966831207275391e+00
3.119999885559082031e+00,3.568692922592163086e+00,4.234222412109375000e+00
3.159999847412109375e+00,3.586264610290527344e+00,4.245837688446044922e+00
3.199999809265136719e+00,3.519490480422973633e+00,4.352924346923828125e+00
3.240000009536743164e+00,3.621674060821533203e+00,4.149976730346679688e+00
3.279999971389770508e+00,3.465071439743041992e+00,3.902008533477783203e+00
3.319999933242797852e+00,3.608730792999267578e+00,4.030165195465087891e+00
3.359999895095825195e+00,3.631261348724365234e+00,4.172395229339599609e+00
3.399999856948852539e+00,3.647500276565551758e+00,4.198201179504394531e+00
3.439999818801879883e+00,3.534906864166259766e+00,4.105097293853759766e+00
3.480000019073486328e+00,3.598074436187744141e+00,4.134983062744140625e+00
3.519999980926513672e+00,3.585560560226440430e+00,4.212314128875732422e+00
3.559999942779541016e+00,3.591216325759887695e+00,4.108651161193847656e+00
3.599999904632568359e+00,3.672170639038085938e+00,4.009068012237548828e+00
3.639999866485595703e+00,3.538014888763427734e+00,4.168250560760498047e+00
3.679999828338623047e+00,3.655151844024658203e+00,4.393887996673583984e+00
3.720000028610229492e+00,3.695347309112548828e+00,4.048354148864746094e+00
3.759999990463256836e+00,3.739370584487915039e+00,4.135285377502441406e+00
3.799999952316284180e+00,3.568078279495239258e+00,3.988692522048950195e+00
3.839999914169311523e+00,3.539584875106811523e+00,3.957592964172363281e+00
3.879999876022338867e+00,3.538208484649658203e+00,4.014130592346191406e+00
3.919999837875366211e+00,3.576410293579101562e+00,4.116336822509765625e+00
3.959999799728393555e+00,3.620105504989624023e+00,4.076271533966064453e+00
