time_ps,cv1_A,cv2_A
0.000000000000000000e+00,3.474580526351928711e+00,4.239192008972167969e+00
3.999999910593032837e-02,3.392379283905029297e+00,4.210507869720458984e+00
7.999999821186065674e-02,3.464060068130493164e+00,4.428530216217041016e+00
1.199999973177909851e-01,3.486567735671997070e+00,4.544523715972900391e+00
1.599999964237213135e-01,3.420004129409790039e+00,4.504904747009277344e+00
1.999999880790710449e-01,3.424944639205932617e+00,4.478239536285400391e+00
2.399999946355819702e-01,3.407494306564331055e+00,4.414919376373291016e+00
2.800000011920928955e-01,3.460778474807739258e+00,4.338997364044189453e+00
3.199999928474426270e-01,3.370598077774047852e+00,4.289027214050292969e+00
3.599999845027923584e-01,3.553630113601684570e+00,4.385708808898925781e+00
3.999999761581420898e-01,3.285339355468750000e+00,4.306930541992187500e+00
4.399999976158142090e-01,3.514347314834594727e+00,4.226272583007812500e+00
4.799999892711639404e-01,3.315303564071655273e+00,4.376403331756591797e+00
5.199999809265136719e-01,3.508478164672851562e+00,4.316020488739013672e+00
5.600000023841857910e-01,3.424733877182006836e+00,4.564742565155029297e+00
5.999999642372131348e-01,3.479280471801757812e+00,4.670233249664306641e+00
6.399999856948852539e-01,3.462069272994995117e+00,4.512358188629150391e+00
6.800000071525573730e-01,3.503368616104125977e+00,4.327258586883544922e+00
7.199999690055847168e-01,3.423418521881103516e+00,4.409238815307617188e+00
7.599999904632568359e-01,3.403489828109741211e+00,4.418816566467285156e+00
7.999999523162841797e-01,3.499264955520629883e+00,4.180839061737060547e+00
8.399999737739562988e-01,3.379226207733154297e+00,4.498462200164794922e+00
8.799999952316284180e-01,3.491096019744873047e+00,4.502459049224853516e+00
9.199999570846557617e-01,3.370780467987060547e+00,4.287626743316650391e+00
9.599999785423278809e-01,3.421532392501831055e+00,4.161388874053955078e+00
1.000000000000000000e+00,3.420492172241210938e+00,4.405221462249755859e+00
1.039999961853027344e+00,3.372713327407836914e+00,4.619483470916748047e+00
1.079999923706054688e+00,3.501850128173828125e+00,4.414081096649169922e+00
1.120000004768371582e+00,3.477421998977661133e+00,4.091554164886474609e+00
1.159999966621398926e+00,3.445525407791137695e+00,4.290703773498535156e+00
1.199999928474426270e+00,3.402052402496337891e+00,4.456807613372802734e+00
1.240000009536743164e+00,3.400086164474487305e+00,4.274674415588378906e+00
1.279999971389770508e+00,3.455932140350341797e+00,4.292775154113769531e+00
1.319999933242797852e+00,3.380017995834350586e+00,4.336801528930664062e+00
1.360000014305114746e+00,3.445893287658691406e+00,4.435790538787841797e+00
1.399999976158142090e+00,3.436668157577514648e+00,4.332840442657470703e+00
1.439999938011169434e+00,3.443264484405517578e+00,4.430162906646728516e+00
1.480000019073486328e+00,3.477298021316528320e+00,4.515193939208984375e+00
1.519999980926513672e+00,3.395821332931518555e+00,4.265174388885498047e+00
1.559999942779541016e+00,3.399058103561401367e+00,4.304849624633789062e+00
1.599999904632568359e+00,3.455948829650878906e+00,4.119538307189941406e+00
1.639999985694885254e+00,3.500836372375488281e+00,4.273882389068603516e+00
1.679999947547912598e+00,3.389993429183959961e+00,4.444927692413330078e+00
1.719999909400939941e+00,3.496528863906860352e+00,4.192038536071777344e+00
1.759999990463256836e+00,3.394171953201293945e+00,4.103531360626220703e+00
1.799999952316284180e+00,3.411341905593872070e+00,4.357339859008789062e+00
1.839999914169311523e+00,3.441298007965087891e+00,4.478511333465576172e+00
1.879999995231628418e+00,3.376951694488525391e+00,4.452652454376220703e+00
1.919999957084655762e+00,3.441392660140991211e+00,4.057178497314453125e+00
1.959999918937683105e+00,3.416609764099121094e+00,4.262308597564697266e+00
2.000000000000000000e+00,3.422017574310302734e+00,4.325468063354492188e+00
2.039999961853027344e+00,3.433316469192504883e+00,4.187325477600097656e+00
2.079999923706054688e+00,3.444411754608154297e+00,4.260138988494873047e+00
2.119999885559082031e+00,3.370673894882202148e+00,4.194174289703369141e+00
2.159999847412109375e+00,3.374798774719238281e+00,4.570956230163574219e+00
2.200000047683715820e+00,3.376008510589599609e+00,4.088881969451904297e+00
2.240000009536743164e+00,3.469686985015869141e+00,4.051837921142578125e+00
2.279999971389770508e+00,3.423515081405639648e+00,4.168447971343994141e+00
2.319999933242797852e+00,3.506093025207519531e+00,4.251666069030761719e+00
2.359999895095825195e+00,3.341360569000244141e+00,4.273575782775878906e+00
2.399999856948852539e+00,3.418421268463134766e+00,4.143515586853027344e+00
2.440000057220458984e+00,3.413583040237426758e+00,4.586521625518798828e+00
2.480000019073486328e+00,3.479189157485961914e+00,4.456806659698486328e+00
2.519999980926513672e+00,3.329786777496337891e+00,4.201069831848144531e+00
2.559999942779541016e+00,3.444850921630859375e+00,4.182128906250000000e+00
2.599999904632568359e+00,3.453177213668823242e+00,4.567924499511718750e+00
2.639999866485595703e+00,3.394093036651611328e+00,4.420592308044433594e+00
2.679999828338623047e+00,3.472527980804443359e+00,4.412589073181152344e+00
2.720000028610229492e+00,3.442686796188354492e+00,4.435461521148681641e+00
2.759999990463256836e+00,3.411351203918457031e+00,4.401716232299804688e+00
2.799999952316284180e+00,3.509358644485473633e+00,4.573745727539062500e+00
2.839999914169311523e+00,3.315670490264892578e+00,4.274257183074951172e+00
2.879999876022338867e+00,3.451007843017578125e+00,4.183094978332519531e+00
2.919999837875366211e+00,3.423447608947753906e+00,4.069757461547851562e+00
2.960000038146972656e+00,3.369453191757202148e+00,4.092446804046630859e+00
3.000000000000000000e+00,3.500295162200927734e+00,4.036213397979736328e+00
3.039999961853027344e+00,3.361221551895141602e+00,4.141989707946777344e+00
3.079999923706054688e+00,3.475448608398437500e+00,4.021903991699218750e+00
3.119999885559082031e+00,3.346006631851196289e+00,4.110944271087646484e+00
3.159999847412109375e+00,3.427625656127929688e+00,4.098186969757080078e+00
3.199999809265136719e+00,3.390826940536499023e+00,3.934839963912963867e+00
3.240000009536743164e+00,3.429735898971557617e+00,4.192975044250488281e+00
3.279999971389770508e+00,3.508079767227172852e+00,4.200087547302246094e+00
3.319999933242797852e+00,3.390897989273071289e+00,4.417123317718505859e+00
3.359999895095825195e+00,3.419081926345825195e+00,4.337353706359863281e+00
3.399999856948852539e+00,3.415030002593994141e+00,4.356463909149169922e+00
3.439999818801879883e+00,3.449005365371704102e+00,4.490671157836914062e+00
3.480000019073486328e+00,3.411055088043212891e+00,4.471612453460693359e+00
3.519999980926513672e+00,3.449368476867675781e+00,4.494169712066650391e+00
3.559999942779541016e+00,3.442955255508422852e+00,4.205557346343994141e+00
3.599999904632568359e+00,3.420876026153564453e+00,4.309982299804687500e+00
3.639999866485595703e+00,3.398594617843627930e+00,4.427054405212402344e+00
3.679999828338623047e+00,3.526609659194946289e+00,4.251724720001220703e+00
3.720000028610229492e+00,3.438187599182128906e+00,4.308904647827148438e+00
3.759999990463256836e+00,3.447962760925292969e+00,4.353927612304687500e+00
3.799999952316284180e+00,3.374583959579467773e+00,4.501697063446044922e+00
3.839999914169311523e+00,3.481916189193725586e+00,4.589745044708251953e+00
3.879999876022338867e+00,3.356963396072387695e+00,4.378640651702880859e+00
3.919999837875366211e+00,3.450072288513183594e+00,4.251961708068847656e+00
3.959999799728393555e+00,3.421818733215332031e+00,4.355478286743164062e+00
