time_ps,cv1_A,cv2_A
0.000000000000000000e+00,3.310951709747314453e+00,6.642479896545410156e+00
3.999999910593032837e-02,3.308034420013427734e+00,6.348046302795410156e+00
7.999999821186065674e-02,3.247588396072387695e+00,5.918209075927734375e+00
1.199999973177909851e-01,3.327774047851562500e+00,5.529481887817382812e+00
1.599999964237213135e-01,3.263059139251708984e+00,5.546139240264892578e+00
1.999999880790710449e-01,3.290656328201293945e+00,5.420361042022705078e+00
2.399999946355819702e-01,3.290167331695556641e+00,5.263802051544189453e+00
2.800000011920928955e-01,3.316025733947753906e+00,5.403048992156982422e+00
3.199999928474426270e-01,3.304328203201293945e+00,5.451753616333007812e+00
3.599999845027923584e-01,3.323229789733886719e+00,5.464431285858154297e+00
3.999999761581420898e-01,3.263407230377197266e+00,5.418072700500488281e+00
4.399999976158142090e-01,3.345075845718383789e+00,5.249948978424072266e+00
4.799999892711639404e-01,3.249557971954345703e+00,5.383885860443115234e+00
5.199999809265136719e-01,3.243068933486938477e+00,5.574807643890380859e+00
5.600000023841857910e-01,3.423923969268798828e+00,5.550758361816406250e+00
5.999999642372131348e-01,3.325853824615478516e+00,5.590672492980957031e+00
6.399999856948852539e-01,3.301190853118896484e+00,5.568146228790283203e+00
6.800000071525573730e-01,3.236834526062011719e+00,5.544899463653564453e+00
7.199999690055847168e-01,3.138115406036376953e+00,5.514737129211425781e+00
7.599999904632568359e-01,3.169304370880126953e+00,5.402482032775878906e+00
7.999999523162841797e-01,3.204896211624145508e+00,5.249319076538085938e+00
8.399999737739562988e-01,3.306655883789062500e+00,5.014049053192138672e+00
8.799999952316284180e-01,3.264764308929443359e+00,4.891366004943847656e+00
9.199999570846557617e-01,3.346701860427856445e+00,4.565040588378906250e+00
9.599999785423278809e-01,3.258208751678466797e+00,4.888126373291015625e+00
1.000000000000000000e+00,3.276917695999145508e+00,4.492127895355224609e+00
1.039999961853027344e+00,3.203141212463378906e+00,4.689592361450195312e+00
1.079999923706054688e+00,3.262866020202636719e+00,4.659638881683349609e+00
1.120000004768371582e+00,3.299498081207275391e+00,4.766396522521972656e+00
1.159999966621398926e+00,3.233847856521606445e+00,4.796564102172851562e+00
1.199999928474426270e+00,3.297968626022338867e+00,5.063060760498046875e+00
1.240000009536743164e+00,3.226779460906982422e+00,5.297215938568115234e+00
